RegionName,State,City,Date,Value
78216,TX,San Antonio,2001-07-31,57359.69616383466
78209,TX,San Antonio,2001-07-31,73463.99146200281
78229,TX,San Antonio,2001-07-31,53315.57278975467
78217,TX,San Antonio,2001-07-31,47544.75659205212
78212,TX,San Antonio,2001-07-31,56433.598088880506
78204,TX,San Antonio,2001-07-31,84263.71577955202
78202,TX,San Antonio,2001-07-31,65623.32695495566
78207,TX,San Antonio,2001-08-31,
78201,TX,San Antonio,2001-08-31,
78230,TX,San Antonio,2001-08-31,46062.80649497153
78216,TX,San Antonio,2001-08-31,57166.68082381953
78209,TX,San Antonio,2001-08-31,73934.81383821163
78229,TX,San Antonio,2001-08-31,52904.63385598013
78217,TX,San Antonio,2001-08-31,47381.77366722564
78212,TX,San Antonio,2001-08-31,56962.96849556898
78204,TX,San Antonio,2001-08-31,84622.63175563658
78202,TX,San Antonio,2001-08-31,65959.20193180382
78207,TX,San Antonio,2001-09-30,
78201,TX,San Antonio,2001-09-30,
78230,TX,San Antonio,2001-09-30,45629.227926930005
78216,TX,San Antonio,2001-09-30,56994.99853069557
78209,TX,San Antonio,2001-09-30,74352.9265989051
78229,TX,San Antonio,2001-09-30,52414.18445265322
78217,TX,San Antonio,2001-09-30,46518.49357408148
78212,TX,San Antonio,2001-09-30,57373.51193893
78204,TX,San Antonio,2001-09-30,84561.50859624152
78202,TX,San Antonio,2001-09-30,65310.69695218896
78207,TX,San Antonio,2001-10-31,
78201,TX,San Antonio,2001-10-31,
78230,TX,San Antonio,2001-10-31,45649.48225647448
78216,TX,San Antonio,2001-10-31,56978.82899931009
78209,TX,San Antonio,2001-10-31,74441.65380401483
78229,TX,San Antonio,2001-10-31,52281.349240184405
78217,TX,San Antonio,2001-10-31,46065.936907527466
78212,TX,San Antonio,2001-10-31,57501.332288940735
78204,TX,San Antonio,2001-10-31,84796.19534752701
78202,TX,San Antonio,2001-10-31,65588.68858273391
78207,TX,San Antonio,2001-11-30,
78201,TX,San Antonio,2001-11-30,
78230,TX,San Antonio,2001-11-30,45586.67728473065
78216,TX,San Antonio,2001-11-30,56817.85997650845
78209,TX,San Antonio,2001-11-30,74092.79515394631
78229,TX,San Antonio,2001-11-30,51905.16366405047
78217,TX,San Antonio,2001-11-30,45727.180606069895
78212,TX,San Antonio,2001-11-30,57520.697629201975
78204,TX,San Antonio,2001-11-30,84847.3031826136
78202,TX,San Antonio,2001-11-30,65397.85549582684
78207,TX,San Antonio,2001-12-31,
78201,TX,San Antonio,2001-12-31,
78230,TX,San Antonio,2001-12-31,45520.76197737549
78216,TX,San Antonio,2001-12-31,56520.70416481097
78209,TX,San Antonio,2001-12-31,73501.79130160864
78229,TX,San Antonio,2001-12-31,51472.04495344612
78217,TX,San Antonio,2001-12-31,45875.98496952906
78212,TX,San Antonio,2001-12-31,57509.64067323133
78204,TX,San Antonio,2001-12-31,85475.82836239647
78202,TX,San Antonio,2001-12-31,65243.24244338405
78207,TX,San Antonio,2002-01-31,
78201,TX,San Antonio,2002-01-31,
78230,TX,San Antonio,2002-01-31,45407.450761012944
78216,TX,San Antonio,2002-01-31,56187.31115602509
78209,TX,San Antonio,2002-01-31,72722.8389820292
78229,TX,San Antonio,2002-01-31,51150.89826654855
78217,TX,San Antonio,2002-01-31,45842.66342764068
78212,TX,San Antonio,2002-01-31,57398.144030034775
78204,TX,San Antonio,2002-01-31,86107.86699705661
78202,TX,San Antonio,2002-01-31,64625.12860832935
78207,TX,San Antonio,2002-02-28,
78201,TX,San Antonio,2002-02-28,
78230,TX,San Antonio,2002-02-28,45318.408016202826
78216,TX,San Antonio,2002-02-28,55894.56447875753
78209,TX,San Antonio,2002-02-28,72200.47160688038
78229,TX,San Antonio,2002-02-28,51112.800202639504
78217,TX,San Antonio,2002-02-28,46126.95152492952
78212,TX,San Antonio,2002-02-28,57373.97717142781
78204,TX,San Antonio,2002-02-28,86764.75090181618
78202,TX,San Antonio,2002-02-28,64452.700045664096
78207,TX,San Antonio,2002-03-31,
78201,TX,San Antonio,2002-03-31,
78230,TX,San Antonio,2002-03-31,45284.54133619279
78216,TX,San Antonio,2002-03-31,55824.11992313265
78209,TX,San Antonio,2002-03-31,72056.9771540471
78229,TX,San Antonio,2002-03-31,51191.40506877061
78217,TX,San Antonio,2002-03-31,45569.353489515226
78212,TX,San Antonio,2002-03-31,57291.56861931751
78204,TX,San Antonio,2002-03-31,86789.944044477
78202,TX,San Antonio,2002-03-31,63843.97551703812
78207,TX,San Antonio,2002-04-30,
78201,TX,San Antonio,2002-04-30,
78230,TX,San Antonio,2002-04-30,45280.55180851669
78216,TX,San Antonio,2002-04-30,55760.382347300845
78209,TX,San Antonio,2002-04-30,72140.29584102242
78229,TX,San Antonio,2002-04-30,51321.353976835504
78217,TX,San Antonio,2002-04-30,45143.71400964144
78212,TX,San Antonio,2002-04-30,57277.970273473424
78204,TX,San Antonio,2002-04-30,86541.21618994483
78202,TX,San Antonio,2002-04-30,63630.18369472132
78207,TX,San Antonio,2002-05-31,
78201,TX,San Antonio,2002-05-31,
78230,TX,San Antonio,2002-05-31,45312.52097537145
78216,TX,San Antonio,2002-05-31,55793.77250923597
